Id,AccountNumber,SubNumber,ParentId,Name_en,Name_fr,Name_ar,UpdateDate,Status,TimeStamp
1021,2591,1,259,Various receivables,Créances diverses,Various receivables,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xe7'
1022,2811,1,281,Establishment Expenses,Frais d'établissement,Establishment Expenses,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xe8'
1023,2821,1,282,"Extractive Land Stress ( Mines, Ovaries,",Terrains d'exploitation,"Extractive Land Stress ( Mines, Ovaries,",2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xe9'
1024,2823,3,282,Constructions,Constructions,Constructions,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xea'
1025,3111,1,311,Raw Materials,Matières ( ou groupe ),Raw Materials,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xeb'
1026,3112,2,311,Furnitures,Fournitures,Furnitures,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xec'
1027,3155,5,315,Emballages,Emballages,Emballages,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xed'
1028,3311,1,331,Products In Process,Produits en cours,Products In Process,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xee'
1029,3321,1,332,Works In Progress,Travaux en cours,Works In Progress,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xef'
1030,3351,1,335,Studies In Progress,Etudes en cours,Studies In Progress,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xf0'
1031,3511,1,351,Semi-Finished Goods,Produits intermédiaires,Semi-Finished Goods,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xf1'
1032,3710,0,371,Merchandise for Sale,Stocks de marchandises,Merchandise for Sale,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xf2'
1033,4011,1,401,Suppliers Goods,Fournisseurs comptes courants,Suppliers Goods,2011-03-03 09:01:24.873000,0,b'\x00\x00\x00\x00\x00\x01!\xf3'
1034,4015,5,401,Notes Payable,Effets à payer,Notes Payable,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xf4'
1035,4018,8,401,Invoices not received yet,Factures à recevoir,Invoices not received yet,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xf5'
1036,4031,1,403,Invoices,Fournisseurs d'immobilisations,Invoices,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xf6'
1037,4035,5,403,Notes Payable,Effets à payer,Notes Payable,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xf7'
1038,4038,8,403,Invoices not received yet,Factures à recevoir,Invoices not received yet,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xf8'
1039,4091,1,409,L.C.,Lettres de crédit,L.C.,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xf9'
1040,4111,1,411,Ordinary Clients,Clients ordinaires,Ordinary Clients,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xfa'
1041,4115,5,411,Doubtful Clients,"Clients douteux, litigeux",Doubtful Clients,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xfb'
1042,4131,1,413,Notes Receivables (Clients),Effets à recevoir,Notes Receivables (Clients),2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xfc'
1043,4132,2,413,Notes Receivables (Clients),Effets à l'encaissement,Notes Receivables (Clients),2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xfd'
1044,4133,3,413,Discountable Notes,Effets à l'escompte,Discountable Notes,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xfe'
1045,4181,1,418,Chalets to deliver,Chalets à livrer,Chalets to deliver,2010-07-13 12:30:45.937000,0,b'\x00\x00\x00\x00\x00\x01!\xff'
1046,4182,2,418,Parkings to deliver,Parkings à livrer,Parkings to deliver,2010-07-13 12:30:45.937000,0,"b'\x00\x00\x00\x00\x00\x01""\x01'"
1047,4211,1,421,Payments due to Personnel,Rénumérations dues au personnel,Payments due to Personnel,2010-07-13 12:30:45.937000,0,"b'\x00\x00\x00\x00\x00\x01""\x02'"
1048,4311,1,431,Benefits Payable,Prestations à verser,Benefits Payable,2010-07-13 12:30:45.937000,0,"b'\x00\x00\x00\x00\x00\x01""\x03'"
1049,4312,2,431,Social Security,Sécurité sociale,Social Security,2010-07-13 12:30:45.937000,0,"b'\x00\x00\x00\x00\x00\x01""\x04'"
1050,4411,1,441,Taxes Due ( Operational ),Impôts et taxes dûs,Taxes Due ( Operational ),2010-07-13 12:30:45.937000,0,"b'\x00\x00\x00\x00\x00\x01""\x05'"
1051,4415,5,441,Notes Payable ( Taxes and Rates ),Effets à payer impôts et taxes,Notes Payable ( Taxes and Rates ),2010-07-13 12:30:45.937000,0,"b'\x00\x00\x00\x00\x00\x01""\x06'"
1052,4431,1,443,Taxes on Profit,Impôts sur bénéfices à payer,Taxes on Profit,2010-07-13 12:30:45.937000,0,"b'\x00\x00\x00\x00\x00\x01""\x07'"
1053,4511,1,451,Affiliated Companies,Sociétés apparentées,Affiliated Companies,2010-07-13 12:30:45.937000,0,"b'\x00\x00\x00\x00\x00\x01""\x08'"
1054,4512,2,451,Associates,Associés,Associates,2010-07-13 12:30:45.937000,0,"b'\x00\x00\x00\x00\x00\x01""\t'"
1055,4516,6,451,ShareHolders,Actionnaires,ShareHolders,2010-07-13 12:30:45.937000,0,"b'\x00\x00\x00\x00\x00\x01""\n'"
1056,4591,1,459,Subscribed & Uncalled Capital,Capital souscrit non appelé,Subscribed & Uncalled Capital,2010-07-13 12:30:45.937000,0,"b'\x00\x00\x00\x00\x00\x01""\x0b'"
1057,4592,2,459,Subscribed Capital called & Unpaid,Capital souscrit appelé non versé,Subscribed Capital called & Unpaid,2010-07-13 12:30:45.937000,0,"b'\x00\x00\x00\x00\x00\x01""\x0c'"
1058,4711,1,471,Pre-Operation Expenses,Frais de pre-exploitation,Pre-Operation Expenses,2010-07-13 12:30:45.937000,0,"b'\x00\x00\x00\x00\x00\x01""\r'"
1059,4712,2,471,Major Repairs for Amortization,Grosses réparations à amortir,Major Repairs for Amortization,2010-07-13 12:30:45.937000,0,"b'\x00\x00\x00\x00\x00\x01""\x0e'"
1060,4721,1,472,Deferred Income,Charges constatées d'avance,Deferred Income,2010-07-13 12:30:45.937000,0,"b'\x00\x00\x00\x00\x00\x01""\x0f'"
1061,4731,1,473,Accrued Income,Produits constatés d'avance,Accrued Income,2010-07-13 12:30:45.937000,0,"b'\x00\x00\x00\x00\x00\x01""\x10'"
1062,4741,1,474,Charges to Pay,Charges à payer,Charges to Pay,2010-07-13 12:30:45.937000,0,"b'\x00\x00\x00\x00\x00\x01""\x11'"
1063,5021,1,502,Shares,Actions,Shares,2010-07-13 12:30:45.937000,0,"b'\x00\x00\x00\x00\x00\x01""\x12'"
1064,5023,3,502,F,Parts des entreprises liées,F,2011-06-21 15:22:31.757000,0,"b'\x00\x00\x00\x00\x00\x01""\x13'"
1065,5051,1,505,Debentures & Bonds,Obligations émises par la société,Debentures & Bonds,2010-07-13 12:30:45.937000,0,"b'\x00\x00\x00\x00\x00\x01""\x14'"
1066,5052,2,505,Bonds by the Society,Bons émis par la société,Bonds by the Society,2010-07-13 12:30:45.937000,0,"b'\x00\x00\x00\x00\x00\x01""\x15'"
1067,5061,1,506,Tresory Bonds,Bons de trésor,Tresory Bonds,2010-07-13 12:30:45.937000,0,"b'\x00\x00\x00\x00\x00\x01""\x16'"
1068,5062,2,506,Cash Bonds,Bons caisses à court terme,Cash Bonds,2010-07-13 12:30:45.937000,0,"b'\x00\x00\x00\x00\x00\x01""\x17'"
1069,5111,1,511,Cheques for Collection,Chèques à encaisser,Cheques for Collection,2010-07-13 12:30:45.937000,0,"b'\x00\x00\x00\x00\x00\x01""\x18'"
1070,5113,3,511,Coupon for Collection,Coupons échus à encaisser,Coupon for Collection,2010-07-13 12:30:45.937000,0,"b'\x00\x00\x00\x00\x00\x01""\x19'"
1071,5120,0,512,Banks,Banques,Banks,2010-07-13 12:30:45.937000,0,"b'\x00\x00\x00\x00\x00\x01""\x1a'"
1072,5122,2,512,Banks FRF,Banques comptes courants FRF,Banks FRF,2010-07-13 12:30:45.937000,0,"b'\x00\x00\x00\x00\x00\x01""\x1b'"
1073,5300,0,530,Cash,Caisse,Cash,2010-07-13 12:30:45.937000,0,"b'\x00\x00\x00\x00\x00\x01""\x1c'"
1074,6011,1,601,PURCHASE OF GOODS,Achat de marchandises,PURCHASE OF GOODS,2012-06-25 11:27:11.690000,0,"b'\x00\x00\x00\x00\x00\x01""\x1d'"
1075,6051,1,605,Opening Stock,Stock initial,Opening Stock,2010-07-13 12:30:45.937000,0,"b'\x00\x00\x00\x00\x00\x01""\x1e'"
1076,6052,2,605,Closing Stock,Stock final,Closing Stock,2010-07-13 12:30:45.937000,0,"b'\x00\x00\x00\x00\x00\x01""\x1f'"
1077,6111,1,611,Raw Materials purchases,Achat matières premières,Raw Materials purchases,2010-07-13 12:30:45.937000,0,"b'\x00\x00\x00\x00\x00\x01"" '"
1078,6112,2,611,Consumable Materials & Supplies Purchase,Achat Matières & Fournitures Consommable,Consumable Materials & Supplies Purchase,2010-07-13 12:30:45.937000,0,"b'\x00\x00\x00\x00\x00\x01""!'"
1079,6113,3,611,Containers & Packing materials purchases,Achats d'emballages,Containers & Packing materials purchases,2010-07-13 12:30:45.937000,0,"b'\x00\x00\x00\x00\x00\x01""""'"
1080,6151,1,615,Opening Stock,Stock initial,Opening Stock,2010-07-13 12:30:45.937000,0,"b'\x00\x00\x00\x00\x00\x01""#'"
1081,6152,2,615,Closing Stock,Stock final,Closing Stock,2010-07-13 12:30:45.937000,0,"b'\x00\x00\x00\x00\x00\x01""$'"
1082,6211,1,621,Sub Contract A,Sous-traitance,Sub Contract A,2010-07-13 12:30:45.937000,0,"b'\x00\x00\x00\x00\x00\x01""%'"
1083,6251,1,635,Leasing on Materials,Crédit bail mobilier,Leasing on Materials,2010-07-13 12:30:45.937000,0,"b'\x00\x00\x00\x00\x00\x01""&'"
1084,6252,2,635,Leasing on Property,Crédit bail immobilier,Leasing on Property,2010-07-13 12:30:45.937000,0,"b'\x00\x00\x00\x00\x00\x01""\''"
1085,6253,3,635,Royalties,Concessions,Royalties,2010-07-13 12:30:45.937000,0,"b'\x00\x00\x00\x00\x00\x01""('"
1086,6254,4,635,Licenses,Brevets,Licenses,2010-07-13 12:30:45.937000,0,"b'\x00\x00\x00\x00\x00\x01"")'"
1087,6256,6,635,Trade Marks,Marques de fabrique,Trade Marks,2010-07-13 12:30:45.937000,0,"b'\x00\x00\x00\x00\x00\x01""*'"
1088,6260,0,626,Office fourniture,Fournitures de bureau,Office fourniture,2010-07-13 12:30:45.937000,0,"b'\x00\x00\x00\x00\x00\x01""+'"
1089,6261,1,626,Transportation & Communication,Transports et communications,Transportation & Communication,2010-07-13 12:30:45.937000,0,"b'\x00\x00\x00\x00\x00\x01"",'"
1090,6262,2,626,Maintenance & Repairs,Entretiens et réparations,Maintenance & Repairs,2010-07-13 12:30:45.937000,0,"b'\x00\x00\x00\x00\x00\x01""-'"
1091,6268,8,626,ASSURANCE,ASSURANCE,ASSURANCE,2010-07-13 12:30:45.937000,0,"b'\x00\x00\x00\x00\x00\x01"".'"
1092,6311,1,631,Salaries,Salaires,Salaries,2010-07-13 12:30:45.937000,0,"b'\x00\x00\x00\x00\x00\x01""/'"
1093,6312,2,631,Wages,Appointtements,Wages,2010-07-13 12:30:45.937000,0,"b'\x00\x00\x00\x00\x00\x01""0'"
1094,6313,3,631,Overtime,Congés payés,Overtime,2010-07-13 12:30:45.937000,0,"b'\x00\x00\x00\x00\x00\x01""1'"
1095,6511,1,651,Amortization of Intangible Assets,Immobilisations incorporelles,Amortization of Intangible Assets,2010-07-13 12:30:45.937000,0,"b'\x00\x00\x00\x00\x00\x01""2'"
1096,6512,2,651,Depreciation of Fixed Assets,Immobilisations corporelles,Depreciation of Fixed Assets,2010-07-13 12:30:45.937000,0,"b'\x00\x00\x00\x00\x00\x01""3'"
1097,6731,1,673,Interest - Accounts Payable & Loans,Intérêts sur emprunts et dettes,Interest - Accounts Payable & Loans,2010-07-13 12:30:45.937000,0,"b'\x00\x00\x00\x00\x00\x01""4'"
1098,6734,4,673,Interest - Other Accounts Payables,Intérêts des autres dettes,Interest - Other Accounts Payables,2010-07-13 12:30:45.937000,0,"b'\x00\x00\x00\x00\x00\x01""5'"
1099,6735,5,673,Discount Paid,Escomptes accordés,Discount Paid,2010-07-13 12:30:45.937000,0,"b'\x00\x00\x00\x00\x00\x01""6'"
1100,6751,1,675,Negative Exchange Differences,Différences négatives de change,Negative Exchange Differences,2010-07-13 12:30:45.937000,0,"b'\x00\x00\x00\x00\x00\x01""7'"
1101,6752,2,675,Capital Operations,Diff. nég. change/Opérat. en Capit.,Capital Operations,2010-07-13 12:30:45.937000,0,"b'\x00\x00\x00\x00\x00\x01""8'"
1102,6811,1,681,Intangible Fixed Assets,Immobilisations incorporelles,Intangible Fixed Assets,2010-07-13 12:30:45.937000,0,"b'\x00\x00\x00\x00\x00\x01""9'"
1103,6812,2,681,Tangible Fixed Assets,Immobilisations corporelles,Tangible Fixed Assets,2010-07-13 12:30:45.937000,0,"b'\x00\x00\x00\x00\x00\x01"":'"
1104,6851,1,685,Charges on Administrative Operations,Charges h. exp./Opérat. de gestion,Charges on Administrative Operations,2010-07-13 12:30:45.937000,0,"b'\x00\x00\x00\x00\x00\x01"";'"
1105,6855,5,685,Charges on Capital Operations,Charges h. exp./Opérat. en capital,Charges on Capital Operations,2010-07-13 12:30:45.937000,0,"b'\x00\x00\x00\x00\x00\x01""<'"
1106,7010,0,701,Sales Of Goods,Marchandises (ou groupe),Sales Of Goods,2011-03-03 11:03:40.500000,0,"b'\x00\x00\x00\x00\x00\x01""='"
1107,7111,1,711,Sales of Manufactured Goods,Vente de produits finis,Sales of Manufactured Goods,2010-07-13 12:30:45.937000,0,"b'\x00\x00\x00\x00\x00\x01"">'"
1108,7130,0,713,Prestations de service,Prestations de service,Prestations de service,2010-07-13 12:30:45.937000,0,"b'\x00\x00\x00\x00\x00\x01""?'"
1109,7711,1,771,Dividends,Revenus des titres de participation,Dividends,2010-07-13 12:30:45.937000,0,"b'\x00\x00\x00\x00\x00\x01""@'"
1110,7751,1,775,Foreign Currencies Positive Difference,Diffèrences positives de change,Foreign Currencies Positive Difference,2010-07-13 12:30:45.937000,0,"b'\x00\x00\x00\x00\x00\x01""A'"
1111,1380,0,138,Result of the period (profit),Result of the period (profit)_fr,Result of the period (profit),2010-07-13 15:33:20.873000,0,"b'\x00\x00\x00\x00\x00\x01""B'"
1112,1390,0,139,Result Of Period (Losses),Result Of Period (Losses)_fr,Result Of Period (Losses),2010-07-13 15:35:02.030000,0,"b'\x00\x00\x00\x00\x00\x01""C'"
1113,6264,4,626,Restauration L.L.,Restauration L.L._fr,Restauration L.L.,2010-07-13 15:36:38.263000,0,"b'\x00\x00\x00\x00\x00\x01""D'"
1114,501,1,50,TEST,TEST,TEST,2010-12-03 13:16:00.890000,0,"b'\x00\x00\x00\x00\x00\x01""E'"
1115,442,2,44,VAT,VAT,VAT,2010-12-15 10:22:59.763000,0,"b'\x00\x00\x00\x00\x00\x01""F'"
1116,4426,6,7757,VAVT ON PURCHASE,VAVT ON PURCHASE,VAVT ON PURCHASE,2010-12-15 00:00:00,0,"b'\x00\x00\x00\x00\x00\x01""G'"
1117,4427,7,7757,VAVT ON SALE,VAVT ON SALE,VAVT ON SALE,2010-12-15 00:00:00,0,"b'\x00\x00\x00\x00\x00\x01""H'"
1118,6018,8,601,Charges on purchase,Charges on purchase,Charges on purchase,2011-03-03 11:12:17.543000,0,"b'\x00\x00\x00\x00\x00\x01""I'"
1119,7018,8,701,Charges on sale,Charges on sale,Charges on sale,2011-03-03 10:25:48.700000,0,"b'\x00\x00\x00\x00\x00\x01""J'"
1120,709,9,70,Sales Discounts,Sales Discounts,Sales Discounts,2011-03-03 10:24:36,0,"b'\x00\x00\x00\x00\x00\x01""K'"
1121,7090,0,7763,Discounts,Discounts,Discounts,2011-03-03 10:25:01.280000,0,"b'\x00\x00\x00\x00\x00\x01""L'"
1122,6012,2,601,EXPENSES PURCHASE,EXPENSES PURCHASE,EXPENSES PURCHASE,2012-06-25 11:27:04.563000,0,"b'\x00\x00\x00\x00\x00\x01""M'"
1123,5191,1,519,CREDIT CARDS,CREDIT CARDS,CREDIT CARDS,2011-06-21 11:18:42.827000,0,"b'\x00\x00\x00\x00\x00\x01""N'"
1124,4011,1,401,TEST 4011,TEST 4011,TEST 4011,2011-07-14 10:01:48.537000,0,"b'\x00\x00\x00\x00\x00\x01""O'"
1125,6019,9,601,DISCOUNTS ON PURCHASES,DISCOUNTS ON PURCHASES,DISCOUNTS ON PURCHASES,2012-06-25 11:31:25.383000,0,"b'\x00\x00\x00\x00\x00\x01""P'"
1126,6269,9,626,STATONARY & OFFICE SUPLIER,STATONARY & OFFICE SUPLIER,STATONARY & OFFICE SUPLIER,2012-10-04 16:51:32.977000,0,"b'\x00\x00\x00\x00\x00\x01""Q'"
1127,2261,1,226,تجهيزات داخلية ديكور وتحسينات مختلفة,تجهيزات داخلية ديكور وتحسينات مختلفة,تجهيزات داخلية ديكور وتحسينات مختلفة,2012-10-04 17:50:41.510000,0,"b'\x00\x00\x00\x00\x00\x01""R'"
1128,44210,1,7796,VAVT ON PURCHASE,VAVT ON PURCHASE,VAVT ON PURCHASE,2015-02-23 13:44:26.557000,0,"b'\x00\x00\x00\x00\x00\x01""S'"
1129,442611,1,7788,VAVT ON PURCHASE,VAVT ON PURCHASE,VAVT ON PURCHASE,2012-12-10 15:24:16.480000,0,"b'\x00\x00\x00\x00\x00\x01""T'"
1130,44266,6,7789,VAVT ON PURCHASE,VAVT ON PURCHASE,VAVT ON PURCHASE,2012-12-10 15:24:16.480000,0,"b'\x00\x00\x00\x00\x00\x01""U'"
1131,442661,1,7790,VAVT ON PURCHASE,VAVT ON PURCHASE,VAVT ON PURCHASE,2012-12-10 15:24:16.480000,0,"b'\x00\x00\x00\x00\x00\x01""V'"
1132,44270,0,7759,VAVT ON PURCHASE,VAVT ON PURCHASE,VAVT ON PURCHASE,2012-12-10 15:24:16.480000,0,"b'\x00\x00\x00\x00\x00\x01""W'"
1133,54,4,5,BANK BLC L.L,BANK BLC L.L,BANK BLC L.L,2013-09-16 15:37:39.233000,0,"b'\x00\x00\x00\x00\x00\x01""X'"
1134,52,2,5,BANK BLC$,BANK BLC$,BANK BLC$,2013-09-16 15:38:24.323000,0,"b'\x00\x00\x00\x00\x00\x01""Y'"
1135,4421,0,7757,Purchase Vat,Purchase Vat,Purchase Vat,2015-02-23 13:44:26.543000,0,"b'\x00\x00\x00\x00\x00\x01""Z'"
